tanggal,tn,tx,tavg,rh_avg,rr,ss,ff_x,ddd_x,ff_avg,ddd_car,year,month
2023-01-01,24.5,31.0,27.5,79,25.2,0.0,8,300,4,NW,2023,1
2023-01-02,25.2,31.5,28.1,81,0.0,3.9,9,310,5,NW,2023,1
2023-01-03,25.5,32.8,28.4,77,,2.2,5,300,4,NW,2023,1
2023-01-04,25.8,34.0,28.8,75,,3.5,7,320,4,NW,2023,1
2023-01-05,25.8,34.2,29.1,72,,7.6,7,300,3,NW,2023,1
2023-01-06,26.0,33.8,29.1,72,0.0,9.0,8,300,2,NW,2023,1
2023-01-07,26.0,33.6,28.1,75,,2.2,6,350,3,NW,2023,1
2023-01-08,25.6,33.6,28.4,81,9.5,5.5,7,360,2,NW,2023,1
2023-01-09,24.0,33.6,29.1,79,21.3,7.2,5,300,3,N ,2023,1
2023-01-10,24.4,32.6,28.7,78,8.5,7.1,5,350,2,N ,2023,1
2023-01-11,26.0,34.7,30.2,71,1.0,8.8,4,350,2,N ,2023,1
2023-01-12,25.8,33.4,28.4,77,9.1,8.8,5,320,2,S ,2023,1
2023-01-13,25.5,34.0,29.8,68,1.0,9.5,5,350,3,NW,2023,1
2023-01-14,26.0,34.8,29.7,72,,9.6,5,350,3,W ,2023,1
2023-01-15,26.4,34.6,29.9,72,0.0,8.3,8,330,4,NW,2023,1
2023-01-16,26.5,33.8,29.3,76,0.0,8.8,7,340,3,W ,2023,1
2023-01-17,26.0,32.7,28.0,82,10.9,3.9,8,340,3,N ,2023,1
2023-01-18,24.2,33.9,28.0,78,1.3,3.8,7,320,3,NW,2023,1
2023-01-19,24.4,33.4,28.6,78,6.5,7.5,4,310,2,NW,2023,1
2023-01-20,25.2,34.0,28.9,77,0.3,2.6,4,350,2,S ,2023,1
2023-01-21,26.2,34.2,29.4,74,0.0,2.6,5,120,3,N ,2023,1
2023-01-22,24.6,34.0,28.8,80,16.6,5.4,6,340,3,S ,2023,1
2023-01-23,26.2,34.0,29.5,78,25.5,6.7,5,320,2,N ,2023,1
2023-01-24,26.6,33.0,29.1,79,0.0,4.3,3,350,2,NW,2023,1
2023-01-25,26.6,34.1,28.7,81,2.0,4.1,6,330,2,NW,2023,1
2023-01-26,25.0,31.6,27.2,84,23.0,5.0,7,320,3,NW,2023,1
2023-01-27,25.2,32.4,28.2,80,0.9,0.5,4,330,3,NW,2023,1
2023-01-28,25.5,30.0,25.9,90,6.1,1.2,6,300,4,NW,2023,1
2023-01-29,25.0,32.8,27.4,82,11.5,0.0,10,320,2,NW,2023,1
2023-01-30,25.4,34.0,29.1,80,3.8,4.6,7,310,3,NW,2023,1
2023-01-31,26.4,34.2,28.9,80,,1.6,13,310,4,NW,2023,1
2023-02-01,25.6,32.4,28.2,78,13.2,2.8,7,320,2,NW,2023,2
2023-02-02,25.4,32.2,27.5,84,1.0,0.1,7,300,3,NW,2023,2
2023-02-03,25.0,30.4,27.7,81,4.9,0.5,6,300,3,NW,2023,2
2023-02-04,25.8,31.7,26.9,86,,0.0,7,320,3,NW,2023,2
2023-02-05,26.0,33.6,29.0,75,4.0,3.8,7,300,4,NW,2023,2
2023-02-06,26.2,33.2,28.3,76,0.0,4.3,6,350,3,W ,2023,2
2023-02-07,25.3,32.5,28.3,81,7.0,3.0,10,310,4,NW,2023,2
2023-02-08,24.8,32.2,27.7,80,4.5,3.4,6,320,4,NW,2023,2
2023-02-09,25.2,32.8,27.9,81,3.0,2.9,5,340,2,NW,2023,2
2023-02-10,24.6,32.4,28.5,83,33.6,3.5,8,330,4,NW,2023,2
2023-02-11,26.0,30.8,27.2,85,,5.5,3,320,2,NW,2023,2
2023-02-12,25.4,32.0,27.7,82,1.7,2.3,10,330,3,NW,2023,2
2023-02-13,25.0,33.4,27.7,78,3.6,3.0,7,310,4,NW,2023,2
2023-02-14,25.4,33.2,28.1,80,14.7,4.2,9,300,4,NW,2023,2
2023-02-15,24.8,33.4,27.6,82,17.8,6.0,8,300,3,W ,2023,2
2023-02-16,25.0,32.0,27.5,84,23.8,3.0,6,20,3,NW,2023,2
2023-02-17,25.0,34.2,27.3,83,19.8,6.0,5,320,3,NW,2023,2
2023-02-18,25.6,33.8,28.4,80,1.4,4.1,6,80,3,NW,2023,2
2023-02-19,24.4,33.4,27.8,83,65.8,7.5,7,320,3,NW,2023,2
2023-02-20,25.2,34.2,28.3,77,15.0,6.4,6,330,3,NW,2023,2
2023-02-21,24.2,33.8,29.0,78,9.5,7.5,6,320,3,NW,2023,2
2023-02-22,24.2,32.7,27.5,84,56.2,7.2,9,310,4,NW,2023,2
2023-02-23,25.4,31.6,27.7,82,,5.1,8,300,4,NW,2023,2
2023-02-24,26.1,32.2,29.0,77,3.8,2.4,8,300,4,NW,2023,2
2023-02-25,25.8,32.4,28.8,75,0.0,4.0,7,320,4,NW,2023,2
2023-02-26,26.0,30.4,27.8,81,3.0,7.5,8,300,4,NW,2023,2
2023-02-27,25.2,30.7,27.3,80,0.1,4.5,11,300,4,W ,2023,2
2023-02-28,25.2,32.0,28.2,79,6.8,3.0,7,300,4,NW,2023,2
2023-03-01,24.7,34.2,27.1,80,7.6,2.3,6,330,4,NW,2023,3
2023-03-02,24.6,28.8,25.7,90,2.0,4.0,8,320,4,NW,2023,3
2023-03-03,24.2,34.6,28.4,79,13.7,0.0,6,350,3,NW,2023,3
2023-03-04,25.2,34.4,29.3,76,0.0,7.4,5,310,2,NW,2023,3
2023-03-05,26.0,33.8,28.7,77,0.0,6.0,6,330,3,NW,2023,3
2023-03-06,24.4,33.1,28.5,80,45.2,5.2,4,300,2,NW,2023,3
2023-03-07,25.6,34.4,28.7,77,0.2,4.9,5,340,2,NW,2023,3
2023-03-08,25.5,31.0,28.1,81,0.0,7.6,4,50,2,C ,2023,3
2023-03-09,25.8,32.6,28.6,77,10.0,1.0,3,110,2,NE,2023,3
2023-03-10,26.2,33.8,29.6,77,0.0,7.0,4,330,2,N ,2023,3
2023-03-11,26.8,33.6,29.9,74,,8.8,4,350,1,C ,2023,3
2023-03-12,26.8,34.4,30.1,75,0.0,8.5,6,300,3,N ,2023,3
2023-03-13,27.0,32.5,29.0,75,0.0,8.7,4,120,2,E ,2023,3
2023-03-14,26.0,32.9,28.3,74,0.0,8.0,6,170,3,C ,2023,3
2023-03-15,25.9,33.6,28.8,80,0.2,8.4,6,50,2,S ,2023,3
2023-03-16,26.4,33.5,29.7,76,3.0,5.5,6,60,2,E ,2023,3
2023-03-17,26.8,33.6,29.6,74,0.1,5.4,4,50,1,N ,2023,3
2023-03-18,25.6,34.0,28.5,79,0.0,6.0,6,10,2,S ,2023,3
2023-03-19,26.5,34.4,29.7,76,,5.4,7,310,2,E ,2023,3
2023-03-20,26.8,34.6,29.5,78,5.5,6.8,4,320,1,C ,2023,3
2023-03-21,25.6,33.2,29.4,76,14.3,7.4,4,340,2,N ,2023,3
2023-03-22,25.8,34.2,28.7,78,2.0,7.1,4,310,2,N ,2023,3
2023-03-23,25.9,35.4,30.6,70,0.0,6.6,6,360,2,N ,2023,3
